"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"id","character",137667,0,0,NA,NA,NA,NA,NA,137667,"78ac575ad79de53cfbfa5a27",14,6.02054726774664e-05
"Orden","integer",23,0,0,1,28,2.00997690690084,2,1.39716853256161,NA,NA,NA,NA
"Clase","integer",2,0,0,1,2,1.08752155570941,1,0.282598436713234,2,"1",212185,0.912478444290586
"Dominio","character",25,0,0,NA,NA,NA,NA,NA,25,"RESTO URBANO",22433,0.0964706691838288
"Estrato1","integer",6,0,0,1,6,2.99680480955719,3,1.58654017299597,6,"2",59429,0.255567931124939
"P6020","integer",2,0,0,1,2,1.45486094686007,1,0.497959368043059,2,"1",126765,0.54513905313993
"P6040","integer",48,0,0,18,65,39.2640741043361,38,12.5223900690887,NA,NA,NA,NA
"P6050","integer",9,0,0,1,9,2.16657564172583,2,1.57333640226972,9,"1",108607,0.467052555077257
"P6090","integer",3,0,0,1,9,1.07417314233864,1,0.311977099871735,3,"1",216122,0.929409083285671
"P6100","integer",4,16415,0.0705909167143293,1,9,1.87538057208429,1,0.979220687154464,4,"1",117312,0.542804527072672
"P6210","integer",7,0,0,1,9,4.77264693360627,5,1.23258554104706,7,"6",81731,0.351475249100143
"P6210s1","integer",17,0,0,0,99,6.58705926368707,6,3.70006156434098,NA,NA,NA,NA
"P6240","integer",5,0,0,1,6,1.48372947100891,1,1.23859348318248,5,"1",198372,0.853077144712454
"Oficio","integer",83,0,0,0,99,53.9684953362261,53,26.8091771196031,NA,NA,NA,NA
"P6426","integer",517,0,0,0,660,80.1102921255542,36,103.611138494706,NA,NA,NA,NA
"P6430","integer",9,0,0,1,9,2.83649053698981,4,1.66231030484225,9,"4",104492,0.449356446500987
"P6500","numeric",2509,118937,0.511475593131416,0,5e+07,1078041.29048413,782000,1280621.05482941,NA,NA,NA,NA
"P6510","integer",3,118937,0.511475593131416,1,9,1.94154929577465,2,0.332775328971015,3,"2",106056,0.933591549295775
"P6510s1","numeric",298,119050,0.511961537303741,0,4e+06,6342.29115229041,0,49798.0782514984,NA,NA,NA,NA
"P6510s2","integer",2,225106,0.968043795180982,1,2,1.73650921814022,2,0.440555908631003,2,"2",5473,0.736509218140223
"P6545","integer",3,118937,0.511475593131416,1,9,1.99401408450704,2,0.228666947249854,3,"2",112168,0.987394366197183
"P6545s1","numeric",205,119031,0.511879829876536,0,1.5e+07,4339.85272144048,0,97910.2773127091,NA,NA,NA,NA
"P6545s2","integer",2,231199,0.994246076968396,1,2,1.68236173393124,2,0.465732015581018,2,"2",913,0.682361733931241
"P6580","integer",3,118937,0.511475593131416,1,9,1.97551056338028,2,0.302366863570326,3,"2",109722,0.965862676056338
"P6580s1","numeric",271,119074,0.512064746685474,0,47200000,9345.12927562264,0,182871.88797921,NA,NA,NA,NA
"P6580s2","integer",2,228796,0.9839122376224,1,2,1.79898422881582,2,0.400813390931662,2,"2",2989,0.798984228815825
"P6585s1","integer",3,118937,0.511475593131416,1,9,1.98456866197183,2,0.296903577440617,3,"2",110663,0.974146126760563
"P6585s1a1","numeric",221,119085,0.512112050985435,0,5e+06,2172.82471882386,0,30742.548150022,NA,NA,NA,NA
"P6585s1a2","integer",2,229748,0.988006209764468,1,2,1.68806023664396,2,0.463368462559533,2,"2",1919,0.688060236643958
"P6585s2","integer",3,118937,0.511475593131416,1,9,1.54772007042254,2,0.666645968894447,3,"2",59029,0.519621478873239
"P6585s2a1","numeric",484,119336,0.513191449102723,0,8e+06,31017.7920159717,0,63210.083087547,NA,NA,NA,NA
"P6585s2a2","integer",2,178365,0.767039223865449,1,2,1.78178763937089,2,0.413036167309141,2,"2",42351,0.781787639370893
"P6585s3","integer",3,118937,0.511475593131416,1,9,1.78781690140845,2,0.482928382146657,3,"2",88424,0.778380281690141
"P6585s3a1","numeric",496,119071,0.512051845512757,0,28500000,9457.86611848473,0,88453.7722701227,NA,NA,NA,NA
"P6585s3a2","integer",2,207495,0.892309610943635,1,2,1.98230971967095,2,0.131825749632687,2,"2",24599,0.982309719670953
"P6585s4","integer",3,118937,0.511475593131416,1,9,1.99949823943662,2,0.148969275340583,3,"2",113191,0.996399647887324
"P6585s4a1","numeric",134,118937,0.511475593131416,0,1.3e+07,1530.17282570421,0,71817.0031301714,NA,NA,NA,NA
"P6585s4a2","integer",2,232172,0.99843035731948,1,2,1.96438356164384,2,0.185586287367113,2,"2",352,0.964383561643836
"P6590","integer",3,118937,0.511475593131416,1,9,1.86535211267606,2,0.381580427337782,3,"2",97832,0.861197183098592
"P6590s1","numeric",314,118937,0.511475593131416,0,8e+06,23436.1900792238,0,83225.8810505255,NA,NA,NA,NA
"P6600","integer",3,118937,0.511475593131416,1,9,1.96955985915493,2,0.219650535488559,3,"2",109838,0.966883802816901
"P6600s1","numeric",73,118937,0.511475593131416,0,8e+06,6915.10563380292,0,62238.2304669788,NA,NA,NA,NA
"P6610","integer",3,118937,0.511475593131416,1,9,1.97380281690141,2,0.216121458816826,3,"2",110280,0.970774647887324
"P6610s1","numeric",188,118937,0.511475593131416,0,4e+06,4748.13548415477,0,44306.5643858009,NA,NA,NA,NA
"P6620","integer",3,118937,0.511475593131416,1,9,1.99668133802817,2,0.2006983657544,3,"2",112623,0.991399647887324
"P6620s1","numeric",112,118937,0.511475593131416,0,6300000,1263.60123239429,0,33069.5818172647,NA,NA,NA,NA
