"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"id","character",164801,0,0,NA,NA,NA,NA,NA,164801,"78ac575ad79de53cfbfa5a27",19,4.85327775053131e-05
"Orden","integer",25,0,0,1,28,2.10480781020108,2,1.43002577957957,NA,NA,NA,NA
"Clase","integer",2,0,0,1,2,1.08725682524113,1,0.282211401483013,2,"1",357328,0.912743174758869
"Dominio","character",25,0,0,NA,NA,NA,NA,NA,25,"RESTO URBANO",38062,0.0972239251266961
"Estrato1","integer",6,0,0,1,6,3.00698361124734,3,1.58767577628896,6,"2",99901,0.255182789766225
"P6020","integer",2,0,0,1,2,1.54285955125061,2,0.498160308299744,2,"2",212523,0.542859551250613
"P6040","integer",92,0,0,18,110,43.1253371750858,41,17.6586331558071,NA,NA,NA,NA
"P6050","integer",9,0,0,1,9,2.2765934077162,2,1.59721644870035,9,"1",164759,0.420853257315678
"P6090","integer",3,0,0,1,9,1.07343520107896,1,0.312494519558236,3,"1",364188,0.930266061794998
"P6100","integer",4,27300,0.0697339382050025,1,9,1.96871945259042,2,0.984481805421979,4,"1",179483,0.492830625940448
"P6210","integer",7,0,0,1,9,4.56974670998856,5,1.36913983788262,7,"6",125322,0.320117091711623
"P6210s1","integer",17,0,0,0,99,6.15460754863495,5,3.84978536494547,NA,NA,NA,NA
"P6240","integer",6,0,0,1,6,2.49161404691842,1,1.75575284569728,6,"1",206946,0.528613903874448
"Oficio","integer",83,147374,0.376445765898316,0,99,54.151847087836,53,26.6210825073274,NA,NA,NA,NA
"P6426","integer",584,147374,0.376445765898316,0,948,86.9244697149692,36,114.131970623968,NA,NA,NA,NA
"P6430","integer",9,147374,0.376445765898316,1,9,2.89005546588889,4,1.6594945475872,9,"4",113125,0.463410537699599
"P6500","numeric",2518,276374,0.705957781592284,0,5e+07,1075202.572893,782000,1284049.5019684,NA,NA,NA,NA
"P6510","integer",3,276374,0.705957781592284,1,9,1.94230936289244,2,0.332126373056388,3,"2",107553,0.93431728547353
"P6510s1","numeric",298,276489,0.706251532614027,0,4e+06,6269.55535265516,0,49509.4543433596,NA,NA,NA,NA
"P6510s2","integer",2,384042,0.980980259931339,1,2,1.73636852001074,2,0.440631362882679,2,"2",5483,0.736368520010744
"P6545","integer",3,276374,0.705957781592284,1,9,1.99414493458658,2,0.229178468767346,3,"2",113672,0.987473287349931
"P6545s1","numeric",206,276470,0.706202999836521,0,1.5e+07,4324.0999061015,0,97568.4714731063,NA,NA,NA,NA
"P6545s2","integer",2,390142,0.996561835867255,1,2,1.68424962852897,2,0.464986782499778,2,"2",921,0.684249628528975
"P6580","integer",3,276374,0.705957781592284,1,9,1.97578053060444,2,0.301275829621471,3,"2",111222,0.966190037701756
"P6580s1","numeric",271,276512,0.706310282818375,0,47200000,9249.55123678054,0,181730.149075805,NA,NA,NA,NA
"P6580s2","integer",2,387734,0.990410944907634,1,2,1.79861481086841,2,0.401088579035211,2,"2",2998,0.798614810868407
"P6585s1","integer",3,276374,0.705957781592284,1,9,1.98473686953802,2,0.296651434244005,3,"2",112157,0.974312420730754
"P6585s1a1","numeric",221,276524,0.706340935098905,0,5e+06,2162.57754601437,0,30634.6557211915,NA,NA,NA,NA
"P6585s1a2","integer",2,388681,0.992829920712768,1,2,1.68863555397221,2,0.463133934624951,2,"2",1933,0.688635553972212
"P6585s2","integer",3,276374,0.705957781592284,1,9,1.55140121966051,2,0.665160088580751,3,"2",60266,0.52353319318241
"P6585s2a1","numeric",485,276775,0.706982078633317,0,8e+06,30764.2245429896,0,62926.1073973972,NA,NA,NA,NA
"P6585s2a2","integer",2,337041,0.860922940166748,1,2,1.78215512333095,2,0.412785193379225,2,"2",42586,0.782155123330946
"P6585s3","integer",3,276374,0.705957781592284,1,9,1.79059888458398,2,0.481367638045415,3,"2",89921,0.781147384332053
"P6585s3a1","numeric",496,276510,0.706305174104953,0,28500000,9338.35809459231,0,87877.6320231297,NA,NA,NA,NA
"P6585s3a2","integer",2,366431,0.935995483897335,1,2,1.9823203096939,2,0.131786994764001,2,"2",24614,0.982320309693898
"P6585s4","integer",3,276374,0.705957781592284,1,9,1.99950483868165,2,0.147986400041365,3,"2",114705,0.996447000364856
