"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"id","character",142737,0,0,NA,NA,NA,NA,NA,142737,"78ac575ad79de53cfbfa5a27",14,5.64345460042326e-05
"Orden","integer",23,0,0,1,28,2.00844905774463,2,1.40167943994536,NA,NA,NA,NA
"Clase","integer",2,0,0,1,2,1.09542275521516,1,0.293798572072852,2,"1",224403,0.904577244784843
"Dominio","character",25,0,0,NA,NA,NA,NA,NA,25,"RESTO URBANO",24332,0.0980832409553562
"Estrato1","integer",6,0,0,1,6,2.98310994658873,3,1.58478066238846,6,"2",63465,0.255829890154187
"P6020","integer",2,0,0,1,2,1.44904565151668,1,0.497397880644632,2,"1",136678,0.550954348483322
"P6040","integer",89,0,0,10,99,40.3808162853976,39,14.284399854561,NA,NA,NA,NA
"P6050","integer",9,0,0,1,9,2.16157210521012,2,1.57310144520977,9,"1",117156,0.47226040511942
"P6090","integer",3,0,0,1,9,1.07250629849844,1,0.309342095587861,3,"1",230970,0.931049077899829
"P6100","integer",4,17105,0.0689509221001713,1,9,1.90147638221414,1,0.982381402519298,4,"1",122438,0.530103476641988
"P6210","integer",7,0,0,1,9,4.69375390506903,5,1.27668177803012,7,"6",83180,0.335301824045148
"P6210s1","integer",17,0,0,0,99,6.48328126574625,5,3.72732355082322,NA,NA,NA,NA
"P6240","integer",5,0,0,1,6,1.52223722664517,1,1.27578191472377,5,"1",208412,0.840116900131009
"Oficio","integer",83,0,0,0,99,54.2578736269273,53,26.5301502624882,NA,NA,NA,NA
"P6426","integer",584,0,0,0,948,85.7767610601633,36,113.593769932393,NA,NA,NA,NA
"P6430","integer",9,0,0,1,9,2.91411065202056,4,1.67666013981074,9,"4",114384,0.461086365010581
"P6500","numeric",2527,131949,0.531891565050892,0,5e+07,1068740.3918675,781550,1280535.08706645,NA,NA,NA,NA
