"variable","tipo","n_valores_unicos","n_missing","pct_missing","min","max","media","mediana","desv_est","n_categorias","valor_mas_frecuente","frec_valor_mas_frecuente","prop_valor_mas_frecuente"
"id","character",137929,0,0,NA,NA,NA,NA,NA,137929,"78ac575ad79de53cfbfa5a27",14,5.91971179460291e-05
"Orden","integer",23,0,0,1,28,2.03438084042994,2,1.40906969417131,NA,NA,NA,NA
"Clase","integer",2,0,0,1,2,1.09127349914164,1,0.287998260774897,2,"1",214912,0.908726500858358
"Dominio","character",25,0,0,NA,NA,NA,NA,NA,25,"RESTO URBANO",22956,0.0970663599692175
"Estrato1","integer",6,0,0,1,6,2.98713308357787,3,1.58610695657974,6,"2",60471,0.255693494236738
"P6020","integer",2,0,0,1,2,1.45311165422118,1,0.497797680619169,2,"1",129338,0.546888345778823
"P6040","integer",56,0,0,10,65,38.8650686263732,38,12.7898066478925,NA,NA,NA,NA
"P6050","integer",9,0,0,1,9,2.18666119798053,2,1.57428902919895,9,"1",108672,0.459504942959349
"P6090","integer",3,0,0,1,9,1.07451225803178,1,0.312807910278119,3,"1",219730,0.929098766162927
"P6100","integer",4,16768,0.0709012338370726,1,9,1.88743912984117,1,0.980884968397852,4,"1",117993,0.536990852409776
"P6210","integer",7,0,0,1,9,4.76141870121523,5,1.22940165422603,7,"6",81907,0.346332738543243
"P6210s1","integer",17,0,0,0,99,6.58943838848531,6,3.70151777504211,NA,NA,NA,NA
"P6240","integer",5,0,0,1,6,1.50149261304535,1,1.24913949943098,5,"1",199838,0.844988118292755
"Oficio","integer",83,0,0,0,99,54.082782941082,53,26.712056797258,NA,NA,NA,NA
"P6426","integer",517,0,0,0,660,79.0205287148306,36,103.100142131881,NA,NA,NA,NA
"P6430","integer",9,0,0,1,9,2.86262040270954,4,1.68103086071257,9,"4",105751,0.447153887136466
"P6500","numeric",2518,121886,0.515378565569265,0,5e+07,1071468.68014693,782000,1277095.22248232,NA,NA,NA,NA
"P6510","integer",3,121886,0.515378565569265,1,9,1.94198687746484,2,0.331452752866774,3,"2",107059,0.934099396223781
"P6510s1","numeric",298,121999,0.515856370878401,0,4e+06,6289.02956357693,0,49584.3103287228,NA,NA,NA,NA
"P6510s2","integer",2,229058,0.968540960177253,1,2,1.73655913978495,2,0.440529065448367,2,"2",5480,0.736559139784946
"P6545","integer",3,121886,0.515378565569265,1,9,1.99406693888947,2,0.227655848070348,3,"2",113180,0.987505671308414
"P6545s1","numeric",205,121980,0.515776031932617,0,1.5e+07,4301.50127491001,0,97477.5412491399,NA,NA,NA,NA
"P6545s2","integer",2,235160,0.994342446870587,1,2,1.68236173393124,2,0.465732015581018,2,"2",913,0.682361733931241
"P6580","integer",3,121886,0.515378565569265,1,9,1.97571807489617,2,0.301051479750547,3,"2",110733,0.966155376400377
"P6580s1","numeric",271,122023,0.515957851652022,0,47200000,9262.5149858049,0,182063.861514385,NA,NA,NA,NA
"P6580s2","integer",2,232756,0.98417745604614,1,2,1.79877071084981,2,0.400972603062618,2,"2",2989,0.798770710849813
"P6585s1","integer",3,121886,0.515378565569265,1,9,1.98472236764039,2,0.296390186486555,3,"2",111669,0.974322060517223
"P6585s1a1","numeric",221,122035,0.516008592038833,0,5e+06,2158.83132540644,0,30626.1949154852,NA,NA,NA,NA
"P6585s1a2","integer",2,233704,0.9881859466042,1,2,1.68861846814603,2,0.463141279818957,2,"2",1924,0.688618468146027
"P6585s2","integer",3,121886,0.515378565569265,1,9,1.55143440477437,2,0.665799510232956,3,"2",59993,0.52344431647646
"P6585s2a1","numeric",484,122287,0.517074140161862,0,8e+06,30764.7698995719,0,63000.0846156761,NA,NA,NA,NA
"P6585s2a2","integer",2,182280,0.7707464756573,1,2,1.78184366815449,2,0.412997933014664,2,"2",42390,0.781843668154487
"P6585s3","integer",3,121886,0.515378565569265,1,9,1.7896817087216,2,0.481206403098984,3,"2",89435,0.780328412382647
"P6585s3a1","numeric",496,122020,0.51594516655532,0,28500000,9374.50197417853,0,88066.3925518182,NA,NA,NA,NA
"P6585s3a2","integer",2,211455,0.894109041091257,1,2,1.98231042606716,2,0.131823164911445,2,"2",24600,0.982310426067164
"P6585s4","integer",3,121886,0.515378565569265,1,9,1.99956374550658,2,0.149744737105507,3,"2",114202,0.996422713153945
"P6585s4a1","numeric",134,121886,0.515378565569265,0,1.3e+07,1516.66171954057,0,71499.3760805166,NA,NA,NA,NA
"P6585s4a2","integer",2,236133,0.998456646567836,1,2,1.96438356164384,2,0.185586287367113,2,"2",352,0.964383561643836
"P6590","integer",3,121886,0.515378565569265,1,9,1.86372282134506,2,0.382798490966595,3,"2",98521,0.859604578927163
