"variable","n_missing","pct_missing"
"Cclasnr5",542769,0.999373974653338
"Imdies",542767,0.999370292151299
"P6585s4a2",542744,0.999327943377849
"Cclasnr6",542541,0.998954169420871
"Iof1es",542540,0.998952328169852
"Iof3ies",542196,0.998318937819112
"Cclasnr3",541939,0.997845736307077
"Isaes",541938,0.997843895056057
"P6545s2",541763,0.997521676127628
"Cclasnr11",541761,0.997517993625589
"Iof6es",541761,0.997517993625589
"Cclasnr4",540311,0.99484817964718
"P6585s1a2",540297,0.994822402132905
"Iees",540296,0.994820560881886
"P6580s2",539354,0.993086102421429
"Cclasnr7",539158,0.992725217221589
"Iof2es",539154,0.992717852217511
"Imdi",536539,0.987902980801276
"P6510s2",535654,0.986273473648936
"Iof3hes",535327,0.985671384565529
"Cclasnr8",534852,0.984796790331223
"P7045",530864,0.977453881265087
"P7050",530864,0.977453881265087
"P550",528656,0.973388399013826
"P7110",521397,0.960022757862602
"P7120",521397,0.960022757862602
"P6585s3a2",518051,0.953861931951045
"P7350",516467,0.95094539033601
"P7422",516467,0.95094539033601
"P7422s1",516467,0.95094539033601
"Cclasnr2",515912,0.949923496020136
"Impaes",514787,0.947852088623094
"P7310",513037,0.944629899338807
"Des",513037,0.944629899338807
"P7500s1",502052,0.92440375688858
"P7500s2",502052,0.92440375688858
"P7500s3",502052,0.92440375688858
"Ingtotes",500007,0.920638398553513
"P6585s2a2",488616,0.899664708189332
"P7140s1",483728,0.890664673205563
"P7140s2",483728,0.890664673205563
"P7150",483728,0.890664673205563
"P7160",483728,0.890664673205563
"P7510s1",449208,0.827104688009221
"P7510s2",449208,0.827104688009221
"P7510s3",449208,0.827104688009221
"P7510s5",449208,0.827104688009221
"P7510s6",449208,0.827104688009221
"P7510s7",449208,0.827104688009221
"P6585s2a1",427386,0.786924908259668
"P6585s1a1",427134,0.786460913002731
"P6580s1",427121,0.786436976739476
"P6585s3a1",427119,0.786433294237437
"P6510s1",427098,0.786394627966025
"P6545s1",427079,0.786359644196653
"P6500",426983,0.786182884098772
"P6510",426983,0.786182884098772
"P6545",426983,0.786182884098772
"P6580",426983,0.786182884098772
"P6585s1",426983,0.786182884098772
"P6585s2",426983,0.786182884098772
"P6585s3",426983,0.786182884098772
"P6585s4",426983,0.786182884098772
"P6585s4a1",426983,0.786182884098772
"P6590",426983,0.786182884098772
"P6590s1",426983,0.786182884098772
"P6600",426983,0.786182884098772
"P6600s1",426983,0.786182884098772
"P6610",426983,0.786182884098772
"P6610s1",426983,0.786182884098772
"P6620",426983,0.786182884098772
"P6620s1",426983,0.786182884098772
"P6630s1",426983,0.786182884098772
"P6630s1a1",426983,0.786182884098772
"P6630s2",426983,0.786182884098772
"P6630s2a1",426983,0.786182884098772
"P6630s3",426983,0.786182884098772
"P6630s3a1",426983,0.786182884098772
"P6630s4",426983,0.786182884098772
"P6630s4a1",426983,0.786182884098772
"P6630s6",426983,0.786182884098772
"P6630s6a1",426983,0.786182884098772
"Ie",426983,0.786182884098772
"P6750",420083,0.773478252063582
"P6760",419515,0.772432421484453
"P7472",373597,0.687885857166793
"P7472s1",373597,0.687885857166793
"Ina",373597,0.687885857166793
"Impa",303389,0.558615305583225
"P7070",296565,0.546050608625525
"Isa",296565,0.546050608625525
"P6920",296058,0.545117094358591
"Oficio",295034,0.543231653314528
"P6426",295034,0.543231653314528
"P6430",295034,0.543231653314528
"P6800",295034,0.543231653314528
"P6870",295034,0.543231653314528
"P7040",295034,0.543231653314528
"P7090",295034,0.543231653314528
"Oc",295034,0.543231653314528
"P6100",125723,0.23148760193626
"P6090",95450,0.175747409820128
"P6210s1",95450,0.175747409820128
"P6240",95450,0.175747409820128
"P7495",95450,0.175747409820128
"P7500s1a1",95450,0.175747409820128
"P7500s2a1",95450,0.175747409820128
"P7500s3a1",95450,0.175747409820128
"P7505",95450,0.175747409820128
"P7510s1a1",95450,0.175747409820128
"P7510s2a1",95450,0.175747409820128
"P7510s3a1",95450,0.175747409820128
"P7510s5a1",95450,0.175747409820128
"P7510s6a1",95450,0.175747409820128
"P7510s7a1",95450,0.175747409820128
"Pet",95450,0.175747409820128
"Iof1",95450,0.175747409820128
"Iof2",95450,0.175747409820128
"Iof3h",95450,0.175747409820128
"Iof3i",95450,0.175747409820128
"Iof6",95450,0.175747409820128
"Ingtotob",95450,0.175747409820128
"Ingtot",95450,0.175747409820128
"P6210",22758,0.0419031907038919
"id",0,0
"Orden",0,0
"Clase",0,0
"Dominio",0,0
"Estrato1",0,0
"P6020",0,0
"P6040",0,0
"P6050",0,0
"Fex_c",0,0
"Depto",0,0
"Fex_dpto",0,0
