"Variable","Tipo"
"id","Categórica"
"Orden","Cuantitativa Discreta"
"Clase","Binaria"
"Dominio","Categórica"
"Estrato1","Cuantitativa Discreta"
"P6020","Binaria"
"P6040","Cuantitativa Discreta"
"P6050","Cuantitativa Discreta"
"P6090","Cuantitativa Discreta"
"P6100","Cuantitativa Discreta"
"P6210","Cuantitativa Discreta"
"P6210s1","Cuantitativa Discreta"
"P6240","Cuantitativa Discreta"
"Oficio","Cuantitativa Discreta"
"P6426","Cuantitativa Discreta"
"P6430","Cuantitativa Discreta"
"P6500","Cuantitativa Discreta"
"P6510","Cuantitativa Discreta"
"P6510s1","Cuantitativa Discreta"
"P6510s2","Cuantitativa Discreta"
"P6545","Cuantitativa Discreta"
"P6545s1","Cuantitativa Discreta"
"P6545s2","Cuantitativa Discreta"
"P6580","Cuantitativa Discreta"
"P6580s1","Cuantitativa Discreta"
"P6580s2","Cuantitativa Discreta"
"P6585s1","Cuantitativa Discreta"
"P6585s1a1","Cuantitativa Discreta"
"P6585s1a2","Cuantitativa Discreta"
"P6585s2","Cuantitativa Discreta"
"P6585s2a1","Cuantitativa Discreta"
"P6585s2a2","Cuantitativa Discreta"
"P6585s3","Cuantitativa Discreta"
"P6585s3a1","Cuantitativa Discreta"
"P6585s3a2","Cuantitativa Discreta"
"P6585s4","Cuantitativa Discreta"
"P6585s4a1","Cuantitativa Discreta"
"P6585s4a2","Cuantitativa Discreta"
"P6590","Cuantitativa Discreta"
"P6590s1","Cuantitativa Discreta"
"P6600","Cuantitativa Discreta"
"P6600s1","Cuantitativa Discreta"
"P6610","Cuantitativa Discreta"
"P6610s1","Cuantitativa Discreta"
"P6620","Cuantitativa Discreta"
"P6620s1","Cuantitativa Discreta"
"P6630s1","Cuantitativa Discreta"
"P6630s1a1","Cuantitativa Discreta"
"P6630s2","Cuantitativa Discreta"
"P6630s2a1","Cuantitativa Discreta"
"P6630s3","Cuantitativa Discreta"
"P6630s3a1","Cuantitativa Discreta"
"P6630s4","Cuantitativa Discreta"
"P6630s4a1","Cuantitativa Discreta"
"P6630s6","Cuantitativa Discreta"
"P6630s6a1","Cuantitativa Discreta"
"P6750","Cuantitativa Discreta"
"P6760","Cuantitativa Discreta"
"P550","Cuantitativa Discreta"
"P6800","Cuantitativa Discreta"
"P6870","Cuantitativa Discreta"
"P6920","Cuantitativa Discreta"
"P7040","Cuantitativa Discreta"
"P7045","Cuantitativa Discreta"
"P7050","Cuantitativa Discreta"
"P7070","Cuantitativa Discreta"
"P7090","Cuantitativa Discreta"
"P7110","Cuantitativa Discreta"
"P7120","Cuantitativa Discreta"
"P7140s1","Cuantitativa Discreta"
"P7140s2","Cuantitativa Discreta"
"P7150","Cuantitativa Discreta"
"P7160","Cuantitativa Discreta"
"P7310","Cuantitativa Discreta"
"P7350","Cuantitativa Discreta"
"P7422","Cuantitativa Discreta"
"P7422s1","Cuantitativa Discreta"
"P7472","Cuantitativa Discreta"
"P7472s1","Cuantitativa Discreta"
"P7495","Cuantitativa Discreta"
"P7500s1","Cuantitativa Discreta"
"P7500s1a1","Cuantitativa Discreta"
"P7500s2","Cuantitativa Discreta"
"P7500s2a1","Cuantitativa Discreta"
"P7500s3","Cuantitativa Discreta"
"P7500s3a1","Cuantitativa Discreta"
"P7505","Cuantitativa Discreta"
"P7510s1","Cuantitativa Discreta"
"P7510s1a1","Cuantitativa Discreta"
"P7510s2","Cuantitativa Discreta"
"P7510s2a1","Cuantitativa Discreta"
"P7510s3","Cuantitativa Discreta"
"P7510s3a1","Cuantitativa Discreta"
"P7510s5","Cuantitativa Discreta"
"P7510s5a1","Cuantitativa Discreta"
"P7510s6","Cuantitativa Discreta"
"P7510s6a1","Cuantitativa Discreta"
"P7510s7","Cuantitativa Discreta"
"P7510s7a1","Cuantitativa Discreta"
"Pet","Binaria"
"Oc","Binaria"
"Des","Binaria"
"Ina","Binaria"
"Impa","Cuantitativa Continua"
"Isa","Cuantitativa Discreta"
"Ie","Cuantitativa Discreta"
"Imdi","Cuantitativa Discreta"
"Iof1","Cuantitativa Continua"
"Iof2","Cuantitativa Discreta"
"Iof3h","Cuantitativa Continua"
"Iof3i","Cuantitativa Continua"
"Iof6","Cuantitativa Discreta"
"Cclasnr2","Binaria"
"Cclasnr3","Binaria"
"Cclasnr4","Binaria"
"Cclasnr5","Binaria"
"Cclasnr6","Binaria"
"Cclasnr7","Binaria"
"Cclasnr8","Binaria"
"Cclasnr11","Binaria"
"Impaes","Cuantitativa Discreta"
"Isaes","Cuantitativa Discreta"
"Iees","Cuantitativa Discreta"
"Imdies","Cuantitativa Discreta"
"Iof1es","Cuantitativa Discreta"
"Iof2es","Cuantitativa Discreta"
"Iof3hes","Cuantitativa Discreta"
"Iof3ies","Cuantitativa Discreta"
"Iof6es","Cuantitativa Discreta"
"Ingtotob","Cuantitativa Continua"
"Ingtotes","Cuantitativa Discreta"
"Ingtot","Cuantitativa Continua"
"Fex_c","Cuantitativa Continua"
"Depto","Cuantitativa Discreta"
"Fex_dpto","Cuantitativa Continua"
