"variable","tipo","n_valores_unicos","metodo_sugerido"
"id","character",164960,"count categories"
"Orden","integer",28,"requires manual review"
"Clase","integer",2,"requires manual review"
"Dominio","character",25,"count categories"
"Estrato1","integer",6,"requires manual review"
"P6020","integer",2,"requires manual review"
"P6040","integer",110,"requires manual review"
"P6050","integer",9,"requires manual review"
"P6090","integer",3,"requires manual review"
"P6100","integer",4,"requires manual review"
"P6210","integer",7,"requires manual review"
"P6210s1","integer",17,"requires manual review"
"P6240","integer",6,"requires manual review"
"Oficio","integer",83,"requires manual review"
"P6426","integer",584,"requires manual review"
"P6430","integer",9,"requires manual review"
"P6500","numeric",2527,"mean, median, sum"
"P6510","integer",3,"requires manual review"
"P6510s1","numeric",298,"mean, median, sum"
"P6510s2","integer",2,"requires manual review"
"P6545","integer",3,"requires manual review"
"P6545s1","numeric",206,"mean, median, sum"
"P6545s2","integer",2,"requires manual review"
"P6580","integer",3,"requires manual review"
"P6580s1","numeric",271,"mean, median, sum"
"P6580s2","integer",2,"requires manual review"
"P6585s1","integer",3,"requires manual review"
"P6585s1a1","numeric",221,"mean, median, sum"
"P6585s1a2","integer",2,"requires manual review"
"P6585s2","integer",3,"requires manual review"
"P6585s2a1","numeric",485,"mean, median, sum"
"P6585s2a2","integer",2,"requires manual review"
"P6585s3","integer",3,"requires manual review"
"P6585s3a1","numeric",496,"mean, median, sum"
"P6585s3a2","integer",2,"requires manual review"
"P6585s4","integer",3,"requires manual review"
"P6585s4a1","numeric",134,"mean, median, sum"
"P6585s4a2","integer",2,"requires manual review"
"P6590","integer",3,"requires manual review"
"P6590s1","numeric",320,"mean, median, sum"
"P6600","integer",3,"requires manual review"
"P6600s1","numeric",77,"mean, median, sum"
"P6610","integer",3,"requires manual review"
"P6610s1","numeric",188,"mean, median, sum"
"P6620","integer",3,"requires manual review"
"P6620s1","numeric",113,"mean, median, sum"
"P6630s1","integer",2,"requires manual review"
"P6630s1a1","numeric",1948,"mean, median, sum"
"P6630s2","integer",2,"requires manual review"
"P6630s2a1","numeric",1155,"mean, median, sum"
"P6630s3","integer",2,"requires manual review"
"P6630s3a1","numeric",902,"mean, median, sum"
"P6630s4","integer",2,"requires manual review"
"P6630s4a1","numeric",287,"mean, median, sum"
"P6630s6","integer",2,"requires manual review"
"P6630s6a1","numeric",91,"mean, median, sum"
"P6750","numeric",1066,"mean, median, sum"
"P6760","integer",12,"requires manual review"
"P550","numeric",449,"mean, median, sum"
"P6800","integer",122,"requires manual review"
"P6870","integer",9,"requires manual review"
"P6920","integer",3,"requires manual review"
"P7040","integer",2,"requires manual review"
"P7045","integer",57,"requires manual review"
"P7050","integer",9,"requires manual review"
"P7070","numeric",275,"mean, median, sum"
"P7090","integer",2,"requires manual review"
"P7110","integer",2,"requires manual review"
"P7120","integer",2,"requires manual review"
"P7140s1","integer",2,"requires manual review"
"P7140s2","integer",2,"requires manual review"
"P7150","integer",2,"requires manual review"
"P7160","integer",3,"requires manual review"
"P7310","integer",2,"requires manual review"
"P7350","integer",9,"requires manual review"
"P7422","integer",2,"requires manual review"
"P7422s1","numeric",299,"mean, median, sum"
"P7472","integer",2,"requires manual review"
"P7472s1","numeric",181,"mean, median, sum"
"P7495","integer",2,"requires manual review"
"P7500s1","integer",3,"requires manual review"
"P7500s1a1","numeric",317,"mean, median, sum"
"P7500s2","integer",3,"requires manual review"
"P7500s2a1","numeric",1560,"mean, median, sum"
"P7500s3","integer",3,"requires manual review"
"P7500s3a1","numeric",173,"mean, median, sum"
"P7505","integer",2,"requires manual review"
"P7510s1","integer",3,"requires manual review"
"P7510s1a1","numeric",548,"mean, median, sum"
"P7510s2","integer",3,"requires manual review"
"P7510s2a1","numeric",209,"mean, median, sum"
"P7510s3","integer",3,"requires manual review"
"P7510s3a1","numeric",981,"mean, median, sum"
