"variable","n_missing","pct_missing"
"id",0,0
"Clase",0,0
"Dominio",0,0
"P5000",0,0
"P5010",0,0
"P5090",0,0
"P5100",0,0
"P5140",0,0
"Nper",0,0
"Npersug",0,0
"Li",0,0
"Lp",0,0
"Pobre",0,0
"Depto",0,0
"n_miembros",0,0
"n_hombres",0,0
"n_mujeres",0,0
"n_menores",0,0
"n_edad_trabajar",0,0
"n_ocupados",0,0
"n_desocupados",0,0
"n_inactivos",0,0
"edad_promedio",0,0
"promedio_horas_trab",0,0
"max_edad",0,0
"max_nivel_educativo",0,0
"max_años_educ",0,0
"prop_afiliados_ss",0,0
"prop_busca_trabajo",0,0
"prop_empl_part_empr",0,0
"prop_empr_grande",0,0
"prop_cotiza_pension",0,0
"prop_actividad_adicional",0,0
"prop_desea_mas_horas",0,0
"tiene_arriendo",0,0
"tiene_otros_ingresos",0,0
"prop_oficio_grupo1",0,0
"prop_oficio_grupo2",0,0
"prop_oficio_grupo3",0,0
"otro_ingr_mes",0,0
"otro_bene_año",0,0
"otro_ingr_año",0,0
"jefe_edad",0,0
"jefe_nivel_educativo",0,0
"jefe_años_educ",0,0
"jefe_ocupado",0,0
"jefe_mujer",0,0
